"Brand","Model","KM Driven","Km/L","Range (Electric)","Gear","Motor Specs","Price","GPS","Trailer Hitch","4WD","Parkingsensor","Cruise Control","Antispin","ESP","El-Sæder","Leather Interior","Glass Roof","Headup Display","Isofix","Klimaanlæg","Regnsensor","Soltag","Sports Package","Seatwarmer","Xenon Lights","Non-Smoker","One-Owner","Service OK","Nysynet","Demo Car","Partly Leather Interior","CVR/Engros","Full Leather","Adaptive Cruise Control","Link","Year","Fuel_Type","Horsepower"
"Mercedes","e-Vito",50000,29.9,153,"Automatgear","El

85 kW

116 HK",120000,"Yes","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4814796-brugt-mercedes-e-vito-111-a2-el-116hk-van-aut",2020,"El",116
"Mercedes","EQE",1400,NA,531,"Automatgear","El

350 kW

476 HK",799900,"Yes","No","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","https://www.autouncle.dk/da/d/4832126-ny-mercedes-eqe-amg-43-4matic",2020,"El",476
"Mercedes","EQB300",11000,18.1,419,"Automatgear","El

167 kW

228 HK",418900,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","https://www.autouncle.dk/da/d/4131230-brugt-mercedes-eqb300-amg-line-4matic",2020,"El",228
"Mercedes","EQA350",17000,17.5,438,"Automatgear","El

214 kW

292 HK",434000,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4807049-brugt-mercedes-eqa350-el-amg-premium-4matic-292hk-5d-trinl-gear",2020,"El",292
"Mercedes","500",8000,17.5,596,"Automatgear","El

300 kW

408 HK",799900,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4790459-brugt-mercedes-500-eqeel-electric-art-4matic-408hk-trinl-gear",2020,"El",408
"Mercedes","EQC400",5000,22.3,411,"Automatgear","El

300 kW

408 HK",609900,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4720365-brugt-mercedes-eqc400-el-4matic-408hk-5d-trinl-gear",2020,"El",408
"Mercedes","EQE",11000,19.6,534,"Automatgear","El

350 kW

476 HK",989990,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://www.autouncle.dk/da/d/4635932-brugt-mercedes-eqe-amg-43-el-4matic-476hk-trinl-gear",2020,"El",476
"Mercedes","EQS580",9000,17.7,672,"Automatgear","El

384 kW

523 HK",1324000,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4612918-brugt-mercedes-eqs580-el-4-matic-523hk-trinl-gear",2020,"El",523
"MG","ZS",39000,17.8,440,"Automatgear","El

114 kW

156 HK",209900,"Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","https://www.autouncle.dk/da/d/4819097-brugt-mg-zs-70-luxury",2020,"El",156
"MG","ZS",16936,17.3,320,"Automatgear","El

130 kW

177 HK",184500,"Yes","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","No","https://www.autouncle.dk/da/d/4774721-brugt-mg-zs-comfort",2020,"El",177
"MG","ZS",5000,17.8,440,"Automatgear","El

114 kW

156 HK",184900,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4809477-brugt-mg-zs-comfort",2022,"El",156
"MG","MG4",1000,NA,435,"Automatgear","El

150 kW

204 HK",225900,"Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","https://www.autouncle.dk/da/d/4824047-ny-mg-mg4-ev-luxury",2020,"El",204
"MG","Marvel",100,20.9,370,"Automatgear","El

211 kW

288 HK",289500,"Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","https://www.autouncle.dk/da/d/4657714-brugt-mg-marvel-r-performance",2022,"El",288
"MG","MG4",800,17,350,"Automatgear","El

125 kW

170 HK",182900,"No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4782069-ny-mg-mg4-ev-pre",2020,"El",170
"MG","MG4",20500,16,450,"Automatgear","El

150 kW

204 HK",213900,"Yes","No","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4816578-brugt-mg-mg4-ev-pre",2020,"El",204
"MG","MG4",11500,16,450,"Automatgear","El

150 kW

204 HK",219900,"Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4825370-brugt-mg-mg4-ev-pre",2020,"El",204
"MG","Marvel",50,19.4,402,"Automatgear","El

132 kW

180 HK",267900,"No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4720885-ny-mg-marvel-r-pre",2020,"El",180
"MG","MG4",6000,16,450,"Automatgear","El

150 kW

204 HK",219900,"Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4825369-brugt-mg-mg4-ev-pre",2020,"El",204
"MG","MG4",1000,17,350,"Automatgear","El

125 kW

170 HK",182900,"No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4824323-ny-mg-mg4-ev-pre",2020,"El",170
"MG","MG4",2500,16,450,"Automatgear","El

150 kW

204 HK",222900,"Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.autouncle.dk/da/d/4823680-brugt-mg-mg4-ev-pre",2020,"El",204
