KM Driven,Km/L,Range (Electric),Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-SÃ¦der,Leather Interior,Glass Roof,Headup Display,Isofix,KlimaanlÃ¦g,KÃ¸recomputer,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Brand,Model,Horsepower,Segment,Fuel_Type_Benzin,Fuel_Type_Diesel,Fuel_Type_El,Fuel_Type_Hybrid
130000,26.0,437.0,Automatgear,229500,1,0,0,0,1,1,1,0,1,0,0,1,1,No,1,0,0,1,1,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4830364-brugt-alfa-romeo-giulia-jtd-180-aut,2016.0,Alfa,Romeo,180.0,Mid-Range,False,True,False,False
108000,21.0,437.0,Automatgear,244900,1,0,0,1,1,1,1,0,0,0,0,0,1,No,1,0,0,1,1,1,1,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/4492111-brugt-alfa-romeo-stelvio-2-2-jtdm-edizione-190hk-van-8g-aut-a,2020.0,Alfa,Romeo,190.0,Mid-Range,False,True,False,False
108000,21.0,437.0,Automatgear,289900,1,0,0,1,1,1,1,0,0,0,0,0,1,No,1,0,0,1,1,1,1,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/4492011-brugt-alfa-romeo-stelvio-2-2-jtdm-edizione-190hk-van-8g-aut-a,2020.0,Alfa,Romeo,190.0,Premium,False,True,False,False
148000,16.0,437.0,Automatgear,244900,1,0,0,1,1,1,0,1,0,0,0,1,1,No,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4825259-brugt-alfa-romeo-giulia-2-0-t-200-edizione-aut,2019.0,Alfa,Romeo,200.0,Mid-Range,True,False,False,False
169000,15.0,437.0,Manuelt gear,69900,0,0,0,0,1,1,0,1,1,0,0,1,1,No,0,0,0,0,0,0,0,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4807875-brugt-alfa-romeo-159-2-4-jtd-20v-lusso,2006.0,Alfa,Romeo,200.0,Economy,False,True,False,False
103000,19.0,437.0,Automatgear,359900,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4774184-brugt-alfa-romeo-stelvio-jtd-180-aut,2018.0,Alfa,Romeo,180.0,Premium,False,True,False,False
54000,21.0,437.0,Automatgear,275000,1,1,0,1,1,1,0,0,1,0,0,0,1,No,1,0,0,1,0,1,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4637974-brugt-alfa-romeo-stelvio-22-jtd-190-edizione-aut-van,2020.0,Alfa,Romeo,190.0,Mid-Range,False,True,False,False
265000,10.0,437.0,Manuelt gear,69900,0,0,0,0,1,1,0,0,1,0,0,0,0,No,0,0,0,0,0,0,0,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4741868-brugt-alfa-romeo-spider-2-0-ts-16v,1997.0,Alfa,Romeo,150.0,Economy,True,False,False,False
160000,8.0,437.0,Manuelt gear,139900,0,0,0,1,1,1,0,0,1,0,0,1,1,No,0,0,0,1,0,0,0,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4775822-brugt-alfa-romeo-gt-3-2-v6-24v,2005.0,Alfa,Romeo,240.0,Economy,True,False,False,False
145000,14.0,437.0,Automatgear,349900,1,0,0,1,1,1,1,0,1,0,0,1,1,No,1,0,0,1,0,0,1,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4681041-brugt-alfa-romeo-stelvio-t-280-first-edition-aut-q4,2017.0,Alfa,Romeo,280.0,Premium,True,False,False,False
94000,11.0,437.0,Manuelt gear,224900,0,0,0,1,1,1,1,0,1,0,0,0,1,No,0,0,0,0,0,0,1,0,0,1,0,0,1,0,https://www.autouncle.dk/da/d/4741867-brugt-alfa-romeo-spider-2-2-jts,2006.0,Alfa,Romeo,185.0,Mid-Range,True,False,False,False
165000,10.0,437.0,Manuelt gear,99900,0,0,0,0,1,0,0,0,1,0,0,0,0,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4741863-brugt-alfa-romeo-155-2-0-t-spark,1993.0,Alfa,Romeo,143.0,Economy,True,False,False,False
157000,15.0,437.0,Manuelt gear,69900,1,0,0,1,1,1,0,0,0,1,0,1,1,No,0,0,0,0,0,0,0,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4741859-brugt-alfa-romeo-brera-2-4-jtd-20v,2007.0,Alfa,Romeo,200.0,Economy,False,True,False,False
292000,15.0,437.0,Manuelt gear,39900,0,1,0,0,1,1,0,0,1,0,0,1,1,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4741858-brugt-alfa-romeo-156-2-4-jtd-20v-sportwagon,2005.0,Alfa,Romeo,175.0,Economy,False,True,False,False
270000,17.0,437.0,Manuelt gear,34900,0,1,0,1,1,0,0,0,0,0,0,1,1,No,0,0,0,0,0,0,1,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4739866-brugt-alfa-romeo-159-1-9-jtd-16v,2008.0,Alfa,Romeo,150.0,Economy,False,True,False,False
283000,21.0,437.0,Manuelt gear,59800,0,1,0,0,1,1,0,1,0,0,0,1,1,No,0,0,0,0,0,0,1,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4471714-brugt-alfa-romeo-giulietta-2-0-jtd-170-distinctive,2011.0,Alfa,Romeo,170.0,Economy,False,True,False,False
87000,17.0,437.0,Automatgear,289900,1,0,0,1,1,1,0,1,0,0,0,1,1,No,0,0,0,0,0,1,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4829183-brugt-alfa-romeo-giulia-2-0-t-200-edizione-aut,2019.0,Alfa,Romeo,200.0,Premium,True,False,False,False
73000,21.0,437.0,Automatgear,400000,1,0,0,1,1,1,1,0,0,0,0,1,1,No,1,0,0,0,0,1,0,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/4544217-brugt-alfa-romeo-stelvio-2-2-jtd-180-aut-5d,2017.0,Alfa,Romeo,180.0,Premium,False,True,False,False
112000,15.0,437.0,Manuelt gear,139900,0,0,0,0,1,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4799349-brugt-alfa-romeo-gt-3-2-v6-24v,2009.0,Alfa,Romeo,192.25925925925927,Economy,True,False,False,False
178000,15.0,437.0,Automatgear,74900,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4798744-brugt-alfa-romeo-164-3-0-quadrifoglio,1991.0,Alfa,Romeo,192.25925925925927,Economy,True,False,False,False
69000,15.0,437.0,Automatgear,192000,1,0,0,0,0,0,0,0,1,0,0,0,0,No,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4797048-brugt-alfa-romeo-147-gta-selespeed,2004.0,Alfa,Romeo,250.0,Mid-Range,True,False,False,False
116000,15.0,437.0,Manuelt gear,84900,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4638854-brugt-alfa-romeo-gtv-2-0-jts-2d,2005.0,Alfa,Romeo,163.0,Economy,True,False,False,False
146000,15.0,437.0,Manuelt gear,149800,0,0,0,0,0,0,0,0,1,0,0,0,0,No,0,0,0,0,0,0,0,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4568849-brugt-alfa-romeo-spider-2-0-ts-16v,2003.0,Alfa,Romeo,155.0,Economy,True,False,False,False
277000,17.0,437.0,Manuelt gear,39700,1,1,0,0,1,1,1,0,0,0,0,1,1,No,0,0,0,0,0,0,0,0,0,1,1,0,0,0,https://www.autouncle.dk/da/d/4474286-brugt-alfa-romeo-159-sportwagon-1-9-jtd-16v-150hk-stc-6g,2008.0,Alfa,Romeo,150.0,Economy,False,True,False,False
120000,15.0,437.0,Manuelt gear,120000,1,0,0,0,0,0,0,0,1,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4350442-brugt-alfa-romeo-spider-916-lusso,2001.0,Alfa,Romeo,150.0,Economy,True,False,False,False
224000,15.0,437.0,Manuelt gear,185000,0,0,0,0,0,0,0,0,1,0,0,0,0,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4812585-brugt-alfa-romeo-spider-serie-4,1991.0,Alfa,Romeo,192.25925925925927,Mid-Range,True,False,False,False
32000,38.0,437.0,Automatgear,549900,1,0,1,1,0,1,1,1,0,1,1,1,1,No,1,1,0,1,0,0,1,0,0,0,1,1,0,1,https://www.autouncle.dk/da/d/4596180-brugt-audi-a6-55-tfsi-e-sport-prestige-quattro-s-tr,2021.0,Audi,A6,367.0,Luxury,True,False,False,False
129000,23.0,437.0,Automatgear,164280,0,1,0,1,1,0,1,0,0,0,0,1,1,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4584956-brugt-audi-a3-20-tdi-sport-s-tronic-150hk-6g-aut,2018.0,Audi,A3,150.0,Mid-Range,False,True,False,False
154000,21.0,437.0,Automatgear,159995,1,0,0,1,1,0,0,1,0,0,0,1,1,No,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4800191-brugt-audi-a3-1-4-tfsi-150-ambition-s-tr,2015.0,Audi,A3,150.0,Mid-Range,True,False,False,False
26000,50.0,437.0,Automatgear,339895,1,0,1,1,1,1,1,0,0,0,0,1,1,No,1,0,1,0,0,0,1,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/4806618-brugt-audi-e-tron-s-line-sportback-quattro,2021.0,Audi,e-tron,313.0,Premium,False,False,False,True
13000,50.0,437.0,Automatgear,348995,1,0,1,1,0,1,1,0,1,0,1,1,1,No,1,0,0,0,0,0,1,0,0,0,1,0,0,1,https://www.autouncle.dk/da/d/4806198-brugt-audi-e-tron-advanced-prestige-quattro,2020.0,Audi,e-tron,313.0,Premium,False,False,False,True
33000,50.0,437.0,Automatgear,339995,1,0,1,1,1,1,1,0,1,0,1,1,1,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4806197-brugt-audi-e-tron-advanced-prestige-quattro,2021.0,Audi,e-tron,313.0,Premium,False,False,False,True
