Brand,Model,KM Driven,Km/L,Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-Sæder,Leather Interior,Glass Roof,Headup Display,Isofix,Klimaanlæg,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Fuel_Type,Horsepower
Toyota,Yaris,74000.0,30.0,Automatgear,84800.0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4791656-brugt-toyota-yaris-hybrid-1-5-hybrid-e-cvt-van,2020,Hybrid,100.0
Toyota,Proace,2000.0,19.0,Manuelt gear,220620.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4437144-ny-toyota-proace-city-medium-1-2-comfort-to-skydedor-110hk-van-6g,2020,Benzin,110.0
Toyota,Yaris,500.0,21.0,Manuelt gear,217900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4832029-ny-toyota-yaris-1-5-vvt-i-style-125hk-5d-6g-egenskaber,2020,Benzin,125.0
Toyota,Auris,210000.0,23.0,Manuelt gear,44900.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4700210-brugt-toyota-auris-2-0-d-4d-t2-comfort-van,2020,Diesel,124.0
Toyota,Yaris,128500.0,21.0,Manuelt gear,120900.0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4780286-brugt-toyota-yaris-hybrid,2018,Hybrid,73.0
Toyota,Dyna,81000.0,9.0,Manuelt gear,55000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4788921-brugt-toyota-dyna-150-single-cab-3-0-d-4d-m-traelad-109hk-pick-up-2010,2020,Diesel,109.0
Toyota,Corolla,72000.0,21.0,Automatgear,215000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.autouncle.dk/da/d/4782693-brugt-toyota-corolla-1-8-hybrid-122-hk-touring-sports-aut-gear,2019,Hybrid,97.0
Toyota,HiLux,103000.0,14.0,Manuelt gear,185000.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/3810108-brugt-toyota-hilux-2-4-d-4d-t3-4x4-150hk-dobkab-2017,2020,Diesel,150.0
Toyota,Avensis,117000.0,22.0,Manuelt gear,85000.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4757661-brugt-toyota-avensis-2-0-sd-d-4d-dpf-man,2012,Diesel,123.0
Toyota,Corolla,8319.0,26.0,Automatgear,359900.0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,https://www.autouncle.dk/da/d/4631427-brugt-toyota-corolla-touring-sports-1-8-hybrid-style-safety-pack-e-cvt-140hk-stc-trinl-gear-a,2020,Hybrid,140.0
Toyota,Celica,0.0,21.0,Manuelt gear,225000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4682416-brugt-toyota-celica-gt-four-st205,1994,Benzin,242.0
Toyota,Avensis,198000.0,18.0,Manuelt gear,59900.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4675846-brugt-toyota-avensis-2-0-stw-d-4d-dpf-man,2012,Diesel,126.0
